Time_lapsed (hr:mm:ss) --> 00:00:02, Epoch: 1, Training loss: 7.1250267
Time_lapsed (hr:mm:ss) --> 00:00:46, Epoch: 3, Training loss: 6.026676
Time_lapsed (hr:mm:ss) --> 00:00:47, Epoch: 3, Training loss: 6.0594983
Time_lapsed (hr:mm:ss) --> 00:00:49, Epoch: 3, Training loss: 5.7509117
Time_lapsed (hr:mm:ss) --> 00:00:51, Epoch: 3, Training loss: 5.570077
Time_lapsed (hr:mm:ss) --> 00:00:53, Epoch: 3, Training loss: 6.3156962
Time_lapsed (hr:mm:ss) --> 00:00:57, Epoch: 4, Training loss: 6.4773235
Time_lapsed (hr:mm:ss) --> 00:00:58, Epoch: 4, Training loss: 6.9546814
Time_lapsed (hr:mm:ss) --> 00:01:00, Epoch: 4, Training loss: 5.847084
Time_lapsed (hr:mm:ss) --> 00:01:02, Epoch: 4, Training loss: 6.621759
Time_lapsed (hr:mm:ss) --> 00:01:04, Epoch: 4, Training loss: 6.0646667
Time_lapsed (hr:mm:ss) --> 00:01:06, Epoch: 4, Training loss: 5.466592
Time_lapsed (hr:mm:ss) --> 00:01:08, Epoch: 4, Training loss: 5.2940474
Time_lapsed (hr:mm:ss) --> 00:01:09, Epoch: 4, Training loss: 6.197113
Time_lapsed (hr:mm:ss) --> 00:01:11, Epoch: 4, Training loss: 5.62048
Time_lapsed (hr:mm:ss) --> 00:01:15, Epoch: 5, Training loss: 4.9340463
Time_lapsed (hr:mm:ss) --> 00:01:17, Epoch: 5, Training loss: 6.463049
Time_lapsed (hr:mm:ss) --> 00:01:19, Epoch: 5, Training loss: 4.6767073
Time_lapsed (hr:mm:ss) --> 00:01:20, Epoch: 5, Training loss: 7.035241
Time_lapsed (hr:mm:ss) --> 00:01:22, Epoch: 5, Training loss: 5.869614
Time_lapsed (hr:mm:ss) --> 00:01:24, Epoch: 5, Training loss: 5.877704
Time_lapsed (hr:mm:ss) --> 00:01:26, Epoch: 5, Training loss: 5.4934697
Time_lapsed (hr:mm:ss) --> 00:01:28, Epoch: 5, Training loss: 5.8814135
Time_lapsed (hr:mm:ss) --> 00:01:30, Epoch: 5, Training loss: 4.894508
Time_lapsed (hr:mm:ss) --> 00:01:33, Epoch: 6, Training loss: 6.3466735
Time_lapsed (hr:mm:ss) --> 00:01:35, Epoch: 6, Training loss: 6.189312
Time_lapsed (hr:mm:ss) --> 00:01:37, Epoch: 6, Training loss: 5.981657
Time_lapsed (hr:mm:ss) --> 00:01:39, Epoch: 6, Training loss: 5.452318
Time_lapsed (hr:mm:ss) --> 00:01:41, Epoch: 6, Training loss: 6.3139324
Time_lapsed (hr:mm:ss) --> 00:01:43, Epoch: 6, Training loss: 5.83222
Time_lapsed (hr:mm:ss) --> 00:01:44, Epoch: 6, Training loss: 5.353054
Time_lapsed (hr:mm:ss) --> 00:01:46, Epoch: 6, Training loss: 6.1716566
Time_lapsed (hr:mm:ss) --> 00:01:48, Epoch: 6, Training loss: 6.250347
Time_lapsed (hr:mm:ss) --> 00:01:52, Epoch: 7, Training loss: 5.5557756
Time_lapsed (hr:mm:ss) --> 00:01:54, Epoch: 7, Training loss: 6.652377
Time_lapsed (hr:mm:ss) --> 00:01:55, Epoch: 7, Training loss: 4.9991317
Time_lapsed (hr:mm:ss) --> 00:01:57, Epoch: 7, Training loss: 5.1701493
Time_lapsed (hr:mm:ss) --> 00:01:59, Epoch: 7, Training loss: 5.6606627
Time_lapsed (hr:mm:ss) --> 00:02:01, Epoch: 7, Training loss: 5.643707
Time_lapsed (hr:mm:ss) --> 00:02:03, Epoch: 7, Training loss: 4.8248873
Time_lapsed (hr:mm:ss) --> 00:02:05, Epoch: 7, Training loss: 6.587431
Time_lapsed (hr:mm:ss) --> 00:02:06, Epoch: 7, Training loss: 5.3813424
Time_lapsed (hr:mm:ss) --> 00:02:10, Epoch: 8, Training loss: 5.574629
Time_lapsed (hr:mm:ss) --> 00:02:12, Epoch: 8, Training loss: 5.97259
Time_lapsed (hr:mm:ss) --> 00:02:14, Epoch: 8, Training loss: 5.537351
Time_lapsed (hr:mm:ss) --> 00:02:16, Epoch: 8, Training loss: 5.265102
Time_lapsed (hr:mm:ss) --> 00:02:18, Epoch: 8, Training loss: 6.1934624
Time_lapsed (hr:mm:ss) --> 00:02:19, Epoch: 8, Training loss: 6.1401634
Time_lapsed (hr:mm:ss) --> 00:02:21, Epoch: 8, Training loss: 5.24896
Time_lapsed (hr:mm:ss) --> 00:02:23, Epoch: 8, Training loss: 5.7235928
Time_lapsed (hr:mm:ss) --> 00:02:25, Epoch: 8, Training loss: 5.866697
Time_lapsed (hr:mm:ss) --> 00:02:29, Epoch: 9, Training loss: 5.719923
Time_lapsed (hr:mm:ss) --> 00:02:30, Epoch: 9, Training loss: 6.544195
Time_lapsed (hr:mm:ss) --> 00:02:32, Epoch: 9, Training loss: 5.2092423
Time_lapsed (hr:mm:ss) --> 00:02:34, Epoch: 9, Training loss: 5.3843336
Time_lapsed (hr:mm:ss) --> 00:02:36, Epoch: 9, Training loss: 6.2245216
Time_lapsed (hr:mm:ss) --> 00:02:38, Epoch: 9, Training loss: 6.260753
Time_lapsed (hr:mm:ss) --> 00:02:40, Epoch: 9, Training loss: 5.530833
Time_lapsed (hr:mm:ss) --> 00:02:41, Epoch: 9, Training loss: 6.104239
Time_lapsed (hr:mm:ss) --> 00:02:43, Epoch: 9, Training loss: 5.52293
Time_lapsed (hr:mm:ss) --> 00:02:47, Epoch: 10, Training loss: 6.0887923
Time_lapsed (hr:mm:ss) --> 00:02:49, Epoch: 10, Training loss: 6.541737
Time_lapsed (hr:mm:ss) --> 00:02:51, Epoch: 10, Training loss: 5.956242
Time_lapsed (hr:mm:ss) --> 00:02:52, Epoch: 10, Training loss: 5.6990924
Time_lapsed (hr:mm:ss) --> 00:02:54, Epoch: 10, Training loss: 4.6000743
Time_lapsed (hr:mm:ss) --> 00:02:56, Epoch: 10, Training loss: 6.252687
Time_lapsed (hr:mm:ss) --> 00:02:58, Epoch: 10, Training loss: 4.5592246
Time_lapsed (hr:mm:ss) --> 00:03:00, Epoch: 10, Training loss: 6.1148505
Time_lapsed (hr:mm:ss) --> 00:03:02, Epoch: 10, Training loss: 5.373861
Time_lapsed (hr:mm:ss) --> 00:03:05, Epoch: 11, Training loss: 5.326067
Time_lapsed (hr:mm:ss) --> 00:03:07, Epoch: 11, Training loss: 6.1230145
Time_lapsed (hr:mm:ss) --> 00:03:09, Epoch: 11, Training loss: 5.0036345
Time_lapsed (hr:mm:ss) --> 00:03:11, Epoch: 11, Training loss: 6.7912846
Time_lapsed (hr:mm:ss) --> 00:03:13, Epoch: 11, Training loss: 5.6529894
Time_lapsed (hr:mm:ss) --> 00:03:15, Epoch: 11, Training loss: 6.049051
Time_lapsed (hr:mm:ss) --> 00:03:16, Epoch: 11, Training loss: 4.686306
Time_lapsed (hr:mm:ss) --> 00:03:18, Epoch: 11, Training loss: 6.1667743
Time_lapsed (hr:mm:ss) --> 00:03:20, Epoch: 11, Training loss: 4.879679
Time_lapsed (hr:mm:ss) --> 00:03:24, Epoch: 12, Training loss: 6.5680118
Time_lapsed (hr:mm:ss) --> 00:03:26, Epoch: 12, Training loss: 5.7364316
Time_lapsed (hr:mm:ss) --> 00:03:27, Epoch: 12, Training loss: 5.428058
Time_lapsed (hr:mm:ss) --> 00:03:29, Epoch: 12, Training loss: 5.3188734
Time_lapsed (hr:mm:ss) --> 00:03:31, Epoch: 12, Training loss: 5.8093824
Time_lapsed (hr:mm:ss) --> 00:03:33, Epoch: 12, Training loss: 5.801573
Time_lapsed (hr:mm:ss) --> 00:03:35, Epoch: 12, Training loss: 4.9983826
Time_lapsed (hr:mm:ss) --> 00:03:37, Epoch: 12, Training loss: 6.490524
Time_lapsed (hr:mm:ss) --> 00:03:38, Epoch: 12, Training loss: 5.583437
Time_lapsed (hr:mm:ss) --> 00:03:42, Epoch: 13, Training loss: 5.585046
Time_lapsed (hr:mm:ss) --> 00:03:44, Epoch: 13, Training loss: 6.4513483
Time_lapsed (hr:mm:ss) --> 00:03:46, Epoch: 13, Training loss: 5.1018553
Time_lapsed (hr:mm:ss) --> 00:03:48, Epoch: 13, Training loss: 5.3333554
Time_lapsed (hr:mm:ss) --> 00:03:50, Epoch: 13, Training loss: 5.615299
Time_lapsed (hr:mm:ss) --> 00:03:51, Epoch: 13, Training loss: 5.7190795
Time_lapsed (hr:mm:ss) --> 00:03:53, Epoch: 13, Training loss: 5.122143
Time_lapsed (hr:mm:ss) --> 00:03:55, Epoch: 13, Training loss: 5.844605
Time_lapsed (hr:mm:ss) --> 00:03:57, Epoch: 13, Training loss: 4.496611
Time_lapsed (hr:mm:ss) --> 00:04:01, Epoch: 14, Training loss: 6.2352214
Time_lapsed (hr:mm:ss) --> 00:04:02, Epoch: 14, Training loss: 5.616811
Time_lapsed (hr:mm:ss) --> 00:04:04, Epoch: 14, Training loss: 5.094248
Time_lapsed (hr:mm:ss) --> 00:04:06, Epoch: 14, Training loss: 5.658066
Time_lapsed (hr:mm:ss) --> 00:04:08, Epoch: 14, Training loss: 5.4479456
Time_lapsed (hr:mm:ss) --> 00:04:10, Epoch: 14, Training loss: 6.305803
Time_lapsed (hr:mm:ss) --> 00:04:12, Epoch: 14, Training loss: 5.0002265
Time_lapsed (hr:mm:ss) --> 00:04:13, Epoch: 14, Training loss: 6.7358885
Time_lapsed (hr:mm:ss) --> 00:04:15, Epoch: 14, Training loss: 4.9595394
Time_lapsed (hr:mm:ss) --> 00:04:19, Epoch: 15, Training loss: 5.530074
Time_lapsed (hr:mm:ss) --> 00:04:21, Epoch: 15, Training loss: 5.669286
Time_lapsed (hr:mm:ss) --> 00:04:23, Epoch: 15, Training loss: 5.7600164
Time_lapsed (hr:mm:ss) --> 00:04:24, Epoch: 15, Training loss: 5.1799
Time_lapsed (hr:mm:ss) --> 00:04:26, Epoch: 15, Training loss: 5.280953
Time_lapsed (hr:mm:ss) --> 00:04:28, Epoch: 15, Training loss: 5.765756
Time_lapsed (hr:mm:ss) --> 00:04:30, Epoch: 15, Training loss: 5.008004
Time_lapsed (hr:mm:ss) --> 00:04:32, Epoch: 15, Training loss: 6.116523
Time_lapsed (hr:mm:ss) --> 00:04:34, Epoch: 15, Training loss: 5.9828296
Time_lapsed (hr:mm:ss) --> 00:04:37, Epoch: 16, Training loss: 5.6305065
Time_lapsed (hr:mm:ss) --> 00:04:39, Epoch: 16, Training loss: 5.3174105
Time_lapsed (hr:mm:ss) --> 00:04:41, Epoch: 16, Training loss: 5.4579225
Time_lapsed (hr:mm:ss) --> 00:04:43, Epoch: 16, Training loss: 4.558378
Time_lapsed (hr:mm:ss) --> 00:04:45, Epoch: 16, Training loss: 5.2824726
Time_lapsed (hr:mm:ss) --> 00:04:47, Epoch: 16, Training loss: 6.259121
Time_lapsed (hr:mm:ss) --> 00:04:49, Epoch: 16, Training loss: 4.673986
Time_lapsed (hr:mm:ss) --> 00:04:50, Epoch: 16, Training loss: 5.159429
Time_lapsed (hr:mm:ss) --> 00:04:52, Epoch: 16, Training loss: 5.478518
Time_lapsed (hr:mm:ss) --> 00:04:56, Epoch: 17, Training loss: 5.99772
Time_lapsed (hr:mm:ss) --> 00:04:58, Epoch: 17, Training loss: 5.482805
Time_lapsed (hr:mm:ss) --> 00:04:59, Epoch: 17, Training loss: 5.5052032
Time_lapsed (hr:mm:ss) --> 00:05:01, Epoch: 17, Training loss: 5.8079104
Time_lapsed (hr:mm:ss) --> 00:05:03, Epoch: 17, Training loss: 5.7593026
Time_lapsed (hr:mm:ss) --> 00:05:05, Epoch: 17, Training loss: 5.537801
Time_lapsed (hr:mm:ss) --> 00:05:07, Epoch: 17, Training loss: 4.4433002
Time_lapsed (hr:mm:ss) --> 00:05:09, Epoch: 17, Training loss: 5.8209352
Time_lapsed (hr:mm:ss) --> 00:05:11, Epoch: 17, Training loss: 6.1771398
Time_lapsed (hr:mm:ss) --> 00:05:14, Epoch: 18, Training loss: 5.5013094
Time_lapsed (hr:mm:ss) --> 00:05:16, Epoch: 18, Training loss: 5.7199583
Time_lapsed (hr:mm:ss) --> 00:05:18, Epoch: 18, Training loss: 4.923297
Time_lapsed (hr:mm:ss) --> 00:05:20, Epoch: 18, Training loss: 5.4891367
Time_lapsed (hr:mm:ss) --> 00:05:22, Epoch: 18, Training loss: 5.8688755
Time_lapsed (hr:mm:ss) --> 00:05:23, Epoch: 18, Training loss: 5.4845614
Time_lapsed (hr:mm:ss) --> 00:05:25, Epoch: 18, Training loss: 4.8148203
Time_lapsed (hr:mm:ss) --> 00:05:27, Epoch: 18, Training loss: 5.5606704
Time_lapsed (hr:mm:ss) --> 00:05:29, Epoch: 18, Training loss: 5.192771
Time_lapsed (hr:mm:ss) --> 00:05:33, Epoch: 19, Training loss: 5.2799544
Time_lapsed (hr:mm:ss) --> 00:05:34, Epoch: 19, Training loss: 5.7868648
Time_lapsed (hr:mm:ss) --> 00:05:36, Epoch: 19, Training loss: 4.704644
Time_lapsed (hr:mm:ss) --> 00:05:38, Epoch: 19, Training loss: 6.493672
Time_lapsed (hr:mm:ss) --> 00:05:40, Epoch: 19, Training loss: 5.7045774
Time_lapsed (hr:mm:ss) --> 00:05:42, Epoch: 19, Training loss: 4.7822933
Time_lapsed (hr:mm:ss) --> 00:05:44, Epoch: 19, Training loss: 5.3280287
Time_lapsed (hr:mm:ss) --> 00:05:45, Epoch: 19, Training loss: 4.747811
Time_lapsed (hr:mm:ss) --> 00:05:47, Epoch: 19, Training loss: 5.493422
Time_lapsed (hr:mm:ss) --> 00:05:51, Epoch: 20, Training loss: 5.4358115
Time_lapsed (hr:mm:ss) --> 00:05:53, Epoch: 20, Training loss: 5.3868947
Time_lapsed (hr:mm:ss) --> 00:05:55, Epoch: 20, Training loss: 4.4963403
Time_lapsed (hr:mm:ss) --> 00:05:56, Epoch: 20, Training loss: 4.9322147
Time_lapsed (hr:mm:ss) --> 00:05:58, Epoch: 20, Training loss: 4.8308845
Time_lapsed (hr:mm:ss) --> 00:06:00, Epoch: 20, Training loss: 5.276653
Time_lapsed (hr:mm:ss) --> 00:06:02, Epoch: 20, Training loss: 4.6302896
Time_lapsed (hr:mm:ss) --> 00:06:04, Epoch: 20, Training loss: 5.01028
Time_lapsed (hr:mm:ss) --> 00:06:06, Epoch: 20, Training loss: 4.804413
Time_lapsed (hr:mm:ss) --> 00:06:09, Epoch: 21, Training loss: 5.878011
Time_lapsed (hr:mm:ss) --> 00:06:11, Epoch: 21, Training loss: 5.9981327
Time_lapsed (hr:mm:ss) --> 00:06:13, Epoch: 21, Training loss: 4.498801
Time_lapsed (hr:mm:ss) --> 00:06:15, Epoch: 21, Training loss: 5.924115
Time_lapsed (hr:mm:ss) --> 00:06:17, Epoch: 21, Training loss: 5.984197
Time_lapsed (hr:mm:ss) --> 00:06:19, Epoch: 21, Training loss: 5.771714
Time_lapsed (hr:mm:ss) --> 00:06:20, Epoch: 21, Training loss: 4.6850557
Time_lapsed (hr:mm:ss) --> 00:06:22, Epoch: 21, Training loss: 6.094761
Time_lapsed (hr:mm:ss) --> 00:06:24, Epoch: 21, Training loss: 5.46376
Time_lapsed (hr:mm:ss) --> 00:06:28, Epoch: 22, Training loss: 5.045966
Time_lapsed (hr:mm:ss) --> 00:06:30, Epoch: 22, Training loss: 5.773539
Time_lapsed (hr:mm:ss) --> 00:06:32, Epoch: 22, Training loss: 4.9511876
Time_lapsed (hr:mm:ss) --> 00:06:33, Epoch: 22, Training loss: 5.007188
Time_lapsed (hr:mm:ss) --> 00:06:35, Epoch: 22, Training loss: 5.1516633
Time_lapsed (hr:mm:ss) --> 00:06:37, Epoch: 22, Training loss: 5.6344156
Time_lapsed (hr:mm:ss) --> 00:06:39, Epoch: 22, Training loss: 4.7384644
Time_lapsed (hr:mm:ss) --> 00:06:41, Epoch: 22, Training loss: 5.6125364
Time_lapsed (hr:mm:ss) --> 00:06:43, Epoch: 22, Training loss: 4.7520094
Time_lapsed (hr:mm:ss) --> 00:06:46, Epoch: 23, Training loss: 4.60394
Time_lapsed (hr:mm:ss) --> 00:06:48, Epoch: 23, Training loss: 5.398621
Time_lapsed (hr:mm:ss) --> 00:06:50, Epoch: 23, Training loss: 4.316691
Time_lapsed (hr:mm:ss) --> 00:06:52, Epoch: 23, Training loss: 4.5621624
Time_lapsed (hr:mm:ss) --> 00:06:54, Epoch: 23, Training loss: 5.5959177
Time_lapsed (hr:mm:ss) --> 00:06:56, Epoch: 23, Training loss: 5.5555243
Time_lapsed (hr:mm:ss) --> 00:06:57, Epoch: 23, Training loss: 4.8618402
Time_lapsed (hr:mm:ss) --> 00:06:59, Epoch: 23, Training loss: 5.7691603
Time_lapsed (hr:mm:ss) --> 00:07:01, Epoch: 23, Training loss: 5.6205325
Time_lapsed (hr:mm:ss) --> 00:07:05, Epoch: 24, Training loss: 5.732316
Time_lapsed (hr:mm:ss) --> 00:07:07, Epoch: 24, Training loss: 6.0189137
Time_lapsed (hr:mm:ss) --> 00:07:08, Epoch: 24, Training loss: 4.7620373
Time_lapsed (hr:mm:ss) --> 00:07:10, Epoch: 24, Training loss: 5.2232733
Time_lapsed (hr:mm:ss) --> 00:07:12, Epoch: 24, Training loss: 5.182242
Time_lapsed (hr:mm:ss) --> 00:07:14, Epoch: 24, Training loss: 6.325917
Time_lapsed (hr:mm:ss) --> 00:07:16, Epoch: 24, Training loss: 4.815767
Time_lapsed (hr:mm:ss) --> 00:07:18, Epoch: 24, Training loss: 6.1694694
Time_lapsed (hr:mm:ss) --> 00:07:19, Epoch: 24, Training loss: 5.7765937
Time_lapsed (hr:mm:ss) --> 00:07:23, Epoch: 25, Training loss: 5.4690948
Time_lapsed (hr:mm:ss) --> 00:07:25, Epoch: 25, Training loss: 5.0533166
Time_lapsed (hr:mm:ss) --> 00:07:27, Epoch: 25, Training loss: 4.6190643
Time_lapsed (hr:mm:ss) --> 00:07:29, Epoch: 25, Training loss: 5.0760436
Time_lapsed (hr:mm:ss) --> 00:07:30, Epoch: 25, Training loss: 5.5997906
Time_lapsed (hr:mm:ss) --> 00:07:32, Epoch: 25, Training loss: 4.9722104
Time_lapsed (hr:mm:ss) --> 00:07:34, Epoch: 25, Training loss: 4.457163
Time_lapsed (hr:mm:ss) --> 00:07:36, Epoch: 25, Training loss: 5.4672523
Time_lapsed (hr:mm:ss) --> 00:07:38, Epoch: 25, Training loss: 5.512305
Time_lapsed (hr:mm:ss) --> 00:07:41, Epoch: 26, Training loss: 5.643224
Time_lapsed (hr:mm:ss) --> 00:07:43, Epoch: 26, Training loss: 5.6406517
Time_lapsed (hr:mm:ss) --> 00:07:45, Epoch: 26, Training loss: 4.464925
Time_lapsed (hr:mm:ss) --> 00:07:47, Epoch: 26, Training loss: 5.123621
Time_lapsed (hr:mm:ss) --> 00:07:49, Epoch: 26, Training loss: 5.2850637
Time_lapsed (hr:mm:ss) --> 00:07:51, Epoch: 26, Training loss: 5.0815897
Time_lapsed (hr:mm:ss) --> 00:07:53, Epoch: 26, Training loss: 4.3128004
Time_lapsed (hr:mm:ss) --> 00:07:54, Epoch: 26, Training loss: 6.054068
Time_lapsed (hr:mm:ss) --> 00:07:56, Epoch: 26, Training loss: 5.179686
Time_lapsed (hr:mm:ss) --> 00:08:00, Epoch: 27, Training loss: 5.362173
Time_lapsed (hr:mm:ss) --> 00:08:02, Epoch: 27, Training loss: 5.956237
Time_lapsed (hr:mm:ss) --> 00:08:04, Epoch: 27, Training loss: 4.9176016
Time_lapsed (hr:mm:ss) --> 00:08:05, Epoch: 27, Training loss: 4.7875953
Time_lapsed (hr:mm:ss) --> 00:08:07, Epoch: 27, Training loss: 5.1015735
Time_lapsed (hr:mm:ss) --> 00:08:09, Epoch: 27, Training loss: 5.200932
Time_lapsed (hr:mm:ss) --> 00:08:11, Epoch: 27, Training loss: 4.5920544
Time_lapsed (hr:mm:ss) --> 00:08:13, Epoch: 27, Training loss: 6.267793
Time_lapsed (hr:mm:ss) --> 00:08:15, Epoch: 27, Training loss: 4.9096265
Time_lapsed (hr:mm:ss) --> 00:08:18, Epoch: 28, Training loss: 5.7953405
Time_lapsed (hr:mm:ss) --> 00:08:20, Epoch: 28, Training loss: 5.093341
Time_lapsed (hr:mm:ss) --> 00:08:22, Epoch: 28, Training loss: 5.3191895
Time_lapsed (hr:mm:ss) --> 00:08:24, Epoch: 28, Training loss: 5.1317916
Time_lapsed (hr:mm:ss) --> 00:08:26, Epoch: 28, Training loss: 4.9799976
Time_lapsed (hr:mm:ss) --> 00:08:27, Epoch: 28, Training loss: 5.111958
Time_lapsed (hr:mm:ss) --> 00:08:29, Epoch: 28, Training loss: 4.592055
Time_lapsed (hr:mm:ss) --> 00:08:31, Epoch: 28, Training loss: 5.4169884
Time_lapsed (hr:mm:ss) --> 00:08:33, Epoch: 28, Training loss: 4.6715283
Time_lapsed (hr:mm:ss) --> 00:08:37, Epoch: 29, Training loss: 4.7902517
Time_lapsed (hr:mm:ss) --> 00:08:38, Epoch: 29, Training loss: 4.9002175
Time_lapsed (hr:mm:ss) --> 00:08:40, Epoch: 29, Training loss: 4.710134
Time_lapsed (hr:mm:ss) --> 00:08:42, Epoch: 29, Training loss: 4.814572
Time_lapsed (hr:mm:ss) --> 00:08:44, Epoch: 29, Training loss: 6.1495647
Time_lapsed (hr:mm:ss) --> 00:08:46, Epoch: 29, Training loss: 5.0462904
Time_lapsed (hr:mm:ss) --> 00:08:48, Epoch: 29, Training loss: 4.189468
Time_lapsed (hr:mm:ss) --> 00:08:49, Epoch: 29, Training loss: 4.8395205
Time_lapsed (hr:mm:ss) --> 00:08:51, Epoch: 29, Training loss: 4.6263785
Time_lapsed (hr:mm:ss) --> 00:08:55, Epoch: 30, Training loss: 5.4381256
Time_lapsed (hr:mm:ss) --> 00:08:57, Epoch: 30, Training loss: 5.998502
Time_lapsed (hr:mm:ss) --> 00:08:59, Epoch: 30, Training loss: 4.5794764
Time_lapsed (hr:mm:ss) --> 00:09:01, Epoch: 30, Training loss: 5.85356
Time_lapsed (hr:mm:ss) --> 00:09:02, Epoch: 30, Training loss: 4.60153
Time_lapsed (hr:mm:ss) --> 00:09:04, Epoch: 30, Training loss: 5.375816
Time_lapsed (hr:mm:ss) --> 00:09:06, Epoch: 30, Training loss: 4.271631
Time_lapsed (hr:mm:ss) --> 00:09:08, Epoch: 30, Training loss: 5.3287625
Time_lapsed (hr:mm:ss) --> 00:09:10, Epoch: 30, Training loss: 4.830324
Time_lapsed (hr:mm:ss) --> 00:09:13, Epoch: 31, Training loss: 4.691047
Time_lapsed (hr:mm:ss) --> 00:09:15, Epoch: 31, Training loss: 6.4678426
Time_lapsed (hr:mm:ss) --> 00:09:17, Epoch: 31, Training loss: 4.122726
Time_lapsed (hr:mm:ss) --> 00:09:19, Epoch: 31, Training loss: 5.8745203
Time_lapsed (hr:mm:ss) --> 00:09:21, Epoch: 31, Training loss: 4.80487
Time_lapsed (hr:mm:ss) --> 00:09:23, Epoch: 31, Training loss: 5.2915063
Time_lapsed (hr:mm:ss) --> 00:09:25, Epoch: 31, Training loss: 4.8358912
Time_lapsed (hr:mm:ss) --> 00:09:26, Epoch: 31, Training loss: 5.6066647
Time_lapsed (hr:mm:ss) --> 00:09:28, Epoch: 31, Training loss: 4.7064757
Time_lapsed (hr:mm:ss) --> 00:09:32, Epoch: 32, Training loss: 4.903944
Time_lapsed (hr:mm:ss) --> 00:09:34, Epoch: 32, Training loss: 4.689226
Time_lapsed (hr:mm:ss) --> 00:09:36, Epoch: 32, Training loss: 5.2949243
Time_lapsed (hr:mm:ss) --> 00:09:37, Epoch: 32, Training loss: 5.327915
Time_lapsed (hr:mm:ss) --> 00:09:39, Epoch: 32, Training loss: 5.4690814
Time_lapsed (hr:mm:ss) --> 00:09:41, Epoch: 32, Training loss: 5.3193808
Time_lapsed (hr:mm:ss) --> 00:09:43, Epoch: 32, Training loss: 4.734147
Time_lapsed (hr:mm:ss) --> 00:09:45, Epoch: 32, Training loss: 6.3383465
Time_lapsed (hr:mm:ss) --> 00:09:47, Epoch: 32, Training loss: 4.5616364
Time_lapsed (hr:mm:ss) --> 00:09:50, Epoch: 33, Training loss: 4.6787534
Time_lapsed (hr:mm:ss) --> 00:09:52, Epoch: 33, Training loss: 5.1754804
Time_lapsed (hr:mm:ss) --> 00:09:54, Epoch: 33, Training loss: 4.6863475
Time_lapsed (hr:mm:ss) --> 00:09:56, Epoch: 33, Training loss: 5.5626163
Time_lapsed (hr:mm:ss) --> 00:09:58, Epoch: 33, Training loss: 5.014431
Time_lapsed (hr:mm:ss) --> 00:09:59, Epoch: 33, Training loss: 4.575528
Time_lapsed (hr:mm:ss) --> 00:10:01, Epoch: 33, Training loss: 4.1485586
Time_lapsed (hr:mm:ss) --> 00:10:03, Epoch: 33, Training loss: 5.435839
Time_lapsed (hr:mm:ss) --> 00:10:05, Epoch: 33, Training loss: 6.0130954
Time_lapsed (hr:mm:ss) --> 00:10:09, Epoch: 34, Training loss: 5.7756877
Time_lapsed (hr:mm:ss) --> 00:10:10, Epoch: 34, Training loss: 5.324387
Time_lapsed (hr:mm:ss) --> 00:10:12, Epoch: 34, Training loss: 5.1194353
Time_lapsed (hr:mm:ss) --> 00:10:14, Epoch: 34, Training loss: 5.368411
Time_lapsed (hr:mm:ss) --> 00:10:16, Epoch: 34, Training loss: 4.7487984
Time_lapsed (hr:mm:ss) --> 00:10:18, Epoch: 34, Training loss: 5.7729316
Time_lapsed (hr:mm:ss) --> 00:10:20, Epoch: 34, Training loss: 4.486014
Time_lapsed (hr:mm:ss) --> 00:10:21, Epoch: 34, Training loss: 5.1816115
Time_lapsed (hr:mm:ss) --> 00:10:23, Epoch: 34, Training loss: 5.493128
